"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.472776370E-1,-1.362520456E0,-6.894486547E-1,1.845657468E0
8.573484380E-1,-1.022754788E0,-6.498711705E-1,1.866402864E0
8.681821790E-1,-6.770865917E-1,-5.921276808E-1,1.867704749E0
8.875913580E-1,-8.065446466E-2,-4.507367313E-1,1.780818701E0
8.976316410E-1,2.007340789E-1,-3.775049448E-1,1.689290762E0
9.077024420E-1,5.199241042E-1,-2.934110761E-1,1.580625296E0
9.177732430E-1,8.486482501E-1,-1.930724233E-1,1.480810404E0
9.278745610E-1,1.099353790E0,-1.207193062E-1,1.408211827E0
9.379148450E-1,1.286892414E0,-6.312462687E-2,1.361818552E0
9.479856450E-1,1.435513854E0,-1.472350862E-2,1.332900882E0
9.580869640E-1,1.579115987E0,3.213800117E-2,1.310822129E0
9.690427740E-1,1.708792567E0,8.015504479E-2,1.276127815E0
9.884824710E-1,1.834775090E0,1.599659324E-1,1.142708540E0
1.008410450E0,1.802537918E0,2.010547370E-1,9.553940892E-1
1.018481251E0,1.748932004E0,2.168315500E-1,8.467819095E-1
1.028552052E0,1.663163781E0,2.189464122E-1,7.437438965E-1
1.038622852E0,1.552843213E0,2.173045725E-1,6.405690908E-1
1.048693653E0,1.414701343E0,2.081974447E-1,5.421227217E-1
1.058764454E0,1.269583106E0,1.918021590E-1,4.590260386E-1
1.068804737E0,1.107124925E0,1.712186635E-1,3.863224089E-1
1.079211231E0,9.269107580E-1,1.525048316E-1,3.289071918E-1
1.099047657E0,5.250338912E-1,1.024427414E-1,2.427542806E-1
1.109118458E0,2.969053388E-1,6.791302562E-2,2.033432573E-1
1.119158741E0,8.755981922E-2,3.956335038E-2,1.685225964E-1
1.129260059E0,-9.703043103E-2,1.777860895E-2,1.400126815E-1
1.139330860E0,-2.520842850E-1,-6.797703914E-3,1.311277449E-1
1.149401661E0,-3.701159656E-1,-2.022102848E-2,1.386480778E-1
1.169543262E0,-5.177891254E-1,-4.508497939E-2,1.811235398E-1
1.180071827E0,-5.622990727E-1,-6.432089210E-2,2.251961827E-1
1.199755665E0,-5.976702571E-1,-9.578885138E-2,3.379387558E-1
1.209826466E0,-5.660539269E-1,-9.735339135E-2,4.063911140E-1
1.219897266E0,-4.781449139E-1,-9.014086425E-2,4.780049622E-1
1.229968067E0,-3.490613103E-1,-7.468246669E-2,5.522630215E-1
1.240038868E0,-2.053125650E-1,-7.769849896E-2,6.255879998E-1
1.250109669E0,-4.522651061E-2,-8.091986179E-2,6.943607330E-1
1.260180470E0,1.204934046E-1,-8.059564978E-2,7.782402039E-1
1.270251270E0,2.968038917E-1,-9.143356979E-2,8.774020076E-1
1.280901905E0,4.935601056E-1,-1.145226508E-1,9.755474329E-1
1.300433155E0,9.193741083E-1,-1.512304246E-1,1.128907681E0
1.310534473E0,1.035002828E0,-1.767053753E-1,1.165600896E0
1.320605274E0,1.096193314E0,-2.244522572E-1,1.163154960E0
1.330676075E0,1.122232556E0,-2.615324557E-1,1.130840182E0
1.340746876E0,1.125147581E0,-3.039838076E-1,1.088597298E0
1.350817677E0,1.111883402E0,-3.552263677E-1,1.033891439E0
1.360888477E0,1.033593297E0,-4.136673510E-1,9.573605657E-1
